rank	word	normalized_word	count	subjects	files	first_seen	preview_path	audio_path	meaning	basic_form	accent	synonyms
1818	profitable	profitable	1	Sociology	Sociology/32words.md	Sociology/32words.md	Sociology/32words_pronunciation/index.html		利益になる；採算のとれる		PRŎF-ĭ-tə-bəl	lucrative, rewarding, beneficial
1819	progression	progression	1	EarthScience	EarthScience/45words.md	EarthScience/45words.md	EarthScience/45words_pronunciation/index.html		進行；進展		prə-GRĔSH-ən	advance, development, sequence
1820	prohibit	prohibit	1	AmericanHistory	AmericanHistory/08words.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		禁止する		prō-HIB-ət	ban, forbid, bar
1821	Prohibitaion Amendment	prohibitaion amendment	1	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html		禁酒法修正条項（※ Prohibition Amendment の綴り違いと考えられる）		prō-ə-bĭ-SHƏN ə-MĔND-mənt	Eighteenth Amendment, temperance amendment, dry amendment
1822	prohibited	prohibited	1	AmericanHistory	AmericanHistory/08words.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		禁止された	prohibit	prō-HIB-ət	banned, forbidden, barred
1823	prohibiting	prohibiting	1	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html		禁止している	prohibit	prō-HĬB-ĭt	banning, forbidding, barring
1824	proliferation	proliferation	1	SantaAI	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md		急増；拡散		prə-lĭf-ə-RĀ-shən	spread, growth, expansion
1825	prominent	prominent	1	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md		著名な；目立つ		PRÄM-ə-nənt	notable, leading, conspicuous
1826	prominent places	prominent places	1	Journalism	Journalism/Newspapres.md	Journalism/Newspapres.md	Journalism/Newspapres.md		目立つ場所、人目につく場所			
1827	promises	promises	1	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html		約束；公約；約束する	promise	PRŎM-ĭs	pledges, vows, assurances
1828	promotes	promotes	1	Medicine	Medicine/58words.md	Medicine/58words.md	Medicine/58words_pronunciation/index.html		促進する；推進する	promote	prə-MŌT	encourages, advances, supports
1829	prompt reply	prompt reply	1	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		迅速な返信		prämt rĭ-PLĪ	quick response, immediate answer, timely reply
1830	proof	proof	1	SantaAI	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md		証拠；証明		PRŪF	evidence, verification, confirmation
1831	prooved	prooved	1	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html		証明した（※ proved/proven の綴り違いと考えられる）	prove	PRŪV	demonstrated, verified, confirmed
1832	proper	proper	1	Ethnology	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md		適切な、本来の；固有の		PRŎP-ər	appropriate, correct, suitable
1833	property(性質)	property(性質	1	SantaAI	SantaAI/単語集/6月/知らない単語集0604.md	SantaAI/単語集/6月/知らない単語集0604.md	SantaAI/単語集/6月/知らない単語集0604.md		性質；特性；所有物		PRŎP-ər-tē	trait, attribute, characteristic
1834	proponents	proponents	1	BusinessAsministration&Economics	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words_pronunciation/index.html		支持者；提唱者	proponent	prə-PŌ-nənt	advocates, supporters, champions
1835	Proposals	proposals	1	Economics	Economics/12words.md	Economics/12words.md	Economics/12words_pronunciation/index.html		提案（複数）	proposal	prə-PŌ-zəl	suggestions, plans, motions
1836	protective tariff	protective tariff	1	AmericanHistory	AmericanHistory/08words.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		保護関税		prə-TEK-tĭv TAR-əf	import duty, customs barrier, trade protection tax
1837	proud	proud	1	SantaAI	SantaAI/単語集/6月/知らない単語集0604.md	SantaAI/単語集/6月/知らない単語集0604.md	SantaAI/単語集/6月/知らない単語集0604.md		誇りに思う；自尊心のある		PROUD	pleased, honored, satisfied
1838	provide	provide	1	SantaAI	SantaAI/単語集/6月/知らない単語集0621.md	SantaAI/単語集/6月/知らない単語集0621.md	SantaAI/単語集/6月/知らない単語集0621.md		提供する；与える		prə-VĪD	supply, offer, furnish
1839	providing	providing	1	Medicine	Medicine/58words.md	Medicine/58words.md	Medicine/58words_pronunciation/index.html		提供すること	provide	prə-VĪD	giving, supplying, offering
1840	provision	provision	1	Economics	Economics/12words.md	Economics/12words.md	Economics/12words_pronunciation/index.html		提供；供給		prə-VIZH-ən	supply, provision of, furnishing
1841	provisions	provisions	1	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html		条項；規定；準備	provision	prə-VĬZH-ən	clauses, stipulations, arrangements
1842	psycholinguistic	psycholinguistic	1	Linguistics	Linguistics/21words.md	Linguistics/21words.md	Linguistics/21words_pronunciation/index.html		心理言語学の；言語と心理の関係に関する		sī-kō-lĭng-GWĬS-tĭk	language-psychological, cognitive-linguistic, mental-language
1843	psychological	psychological	1	SantaAI	SantaAI/単語集/6月/知らない単語集0621.md	SantaAI/単語集/6月/知らない単語集0621.md	SantaAI/単語集/6月/知らない単語集0621.md		心理学の；心理的な		sī-kə-LŎJ-ĭ-kəl	mental, emotional, cognitive
1844	psychologist	psychologist	1	Medicine	Medicine/56words.md	Medicine/56words.md	Medicine/56words_pronunciation/index.html		心理学者		sī-KÄ-lə-jist	therapist, behavioral scientist, clinician
1845	pull	pull	1	Sociology	Sociology/32words.md	Sociology/32words.md	Sociology/32words_pronunciation/index.html		引っ張る；引力；牽引力		pul	draw, attract, tug
1846	pulp	pulp	1	SantaAI	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md		果肉；やわらかい繊維質		PŬLP	flesh, fiber, mash
1847	purchasing supplies	purchasing supplies	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		備品を購入すること		PĔR-chə-sĭng sə-PLĪZ	buying materials, procuring supplies, obtaining goods
1848	Puritans	puritans	1	Ethnology	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md		ピューリタン（17世紀にイングランドから北米に移住した清教徒）	Puritan	PYÛR-ĭ-tən	Pilgrims, early colonists, Protestant settlers
1849	purity	purity	1	SantaAI	SantaAI/単語集/6月/知らない単語集0604.md	SantaAI/単語集/6月/知らない単語集0604.md	SantaAI/単語集/6月/知らない単語集0604.md		純粋さ；純度		PYŪR-ə-tē	cleanness, refinement, innocence
1850	pursuit	pursuit	1	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		追求；遂行		pər-SŪT	quest, search, endeavor
1851	pursuit of	pursuit of	1	MediaStudies	MediaStudies/52words.md	MediaStudies/52words.md	MediaStudies/52words_pronunciation/index.html		〜の追求		pər-SŪT əv	quest for, search for, striving for
1852	push up	push up	1	Physics	Physics/60words.md	Physics/60words.md	Physics/60words_pronunciation/index.html		押し上げる		push UP	raise, lift, thrust upward
1853	putting	putting	1	AmericanHistory	AmericanHistory/10words.md	AmericanHistory/10words.md	AmericanHistory/10words_pronunciation/index.html		〜させる	put	PŬT	
1854	puzzled	puzzled	1	Biology	Biology/41words.md	Biology/41words.md	Biology/41words_pronunciation/index.html		当惑した	puzzle	PŬZ-əld	confused, perplexed, baffled
1855	quarterly	quarterly	1	SantaAI	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md		四半期ごとの		KWÔR-tər-lē	every three months, seasonal, periodic
1856	quiets	quiets	1	Medicine	Medicine/56words.md	Medicine/56words.md	Medicine/56words_pronunciation/index.html		静める；和らげる	quiet	KWĪ-ət	calms, soothes, eases
1857	radioactive elements	radioactive elements	1	Geology	Geology/55words.md	Geology/55words.md	Geology/55words_pronunciation/index.html		放射性元素		rā-dē-ō-AK-tiv EL-ə-mənts	radioactive substances, unstable elements, radionuclides
1858	raid	raid	1	AmericanHistory	AmericanHistory/09words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html		襲撃；急襲する		RĀD	attack, assault, incursion
1859	raindrops	raindrops	1	EarthScience	EarthScience/47words.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html		雨粒	raindrop	RĀN-drŏps	droplets, rain beads, precipitation drops
1860	rainfall	rainfall	1	SantaAI	SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0522.md		降雨量、降雨		RĀN-fôl	precipitation, rain, downpour
1861	raised	raised	1	Linguistics	Linguistics/20words.md	Linguistics/20words.md	Linguistics/20words_pronunciation/index.html		育てられた；育った	raise	rāzd	brought up, nurtured, reared
1862	rape	rape	1	Women'sStudy	Women'sStudy/31words.md	Women'sStudy/31words.md	Women'sStudy/31words_pronunciation/index.html		レイプ；強姦；性的暴行		rāp	sexual assault, sexual violence, violation
1863	rapid succession	rapid succession	1	Film	Film/ToolsofFilmmaking.md	Film/ToolsofFilmmaking.md	Film/ToolsofFilmmaking.md		素早い連続（短い間隔で次々と続く状態）		RĂP-ĭd sək-SĔSH-ən	quick sequence, fast series, swift progression
1864	rarely	rarely	1	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		めったに〜ない		RER-lē	seldom, infrequently, hardly ever
1865	rarely encountered	rarely encountered	1	MediaStudies	MediaStudies/52words.md	MediaStudies/52words.md	MediaStudies/52words_pronunciation/index.html		めったに見られない	rarely encounter	RĔR-lē ĭn-KOUN-tərd	seldom seen, infrequently found, uncommon
1866	rather	rather	1	Film	Film/ToolsofFilmmaking.md	Film/ToolsofFilmmaking.md	Film/ToolsofFilmmaking.md		むしろ、どちらかといえば；かなり		RĂTHh-ər	instead, somewhat, fairly
1867	rather than	rather than	1	Economics	Economics/12words.md	Economics/12words.md	Economics/12words_pronunciation/index.html		〜よりむしろ		RATH-ər than	instead of, in place of, as opposed to
1868	ratification	ratification	1	Women'sStudy	Women'sStudy/31words.md	Women'sStudy/31words.md	Women'sStudy/31words_pronunciation/index.html		批准；承認；正式承認		răt-ĭ-fĭ-KĀ-shən	approval, endorsement, confirmation
1869	ratification of the constitution	ratification of the constitution	1	PoliticalScience	PoliticalScience/30words.md	PoliticalScience/30words.md	PoliticalScience/30words_pronunciation/index.html		憲法の批准；憲法の承認		răt-ĭ-fĭ-KĀ-shən	approval of the constitution, endorsement of the charter, adoption of the constitution
1870	ratio	ratio	1	Physics	Physics/59words.md	Physics/59words.md	Physics/59words_pronunciation/index.html		比率		RĀ-shē-ō	proportion, rate, quotient
1871	rations	rations	1	AmericanHistory	AmericanHistory/09words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html		配給食糧；支給食	ration	RĀ-shən	food allowance, provisions, supplies
1872	raw materials	raw materials	1	AmericanHistory	AmericanHistory/06words.md	AmericanHistory/06words.md	AmericanHistory/06words_pronunciation/index.html		原材料、素材（加工される前の自然素材）		rô mə-TÎER-ē-əlz	resources, natural materials, unprocessed goods
1873	reach	reach	1	Geology	Geology/54words.md	Geology/54words.md	Geology/54words_pronunciation/index.html		到達する		RĒCH	attain, arrive at, extend to
1874	reached	reached	1	Biology	Biology/38words.md	Biology/38words.md	Biology/38words_pronunciation/index.html		到達した	reach	RĒCHT	attained, achieved, arrived at
1875	reaches	reaches	1	Geology	Geology/54words.md	Geology/54words.md	Geology/54words_pronunciation/index.html		達する	reach	RĒ-chəz	attains, extends to, gets to
1876	readily	readily	1	Medicine	Medicine/57words.md	Medicine/57words.md	Medicine/57words_pronunciation/index.html		容易に；すぐに		RED-ə-lē	easily, promptly, willingly
1877	readiness	readiness	1	SantaAI	SantaAI/単語集/6月/知らない単語集0608.md	SantaAI/単語集/6月/知らない単語集0608.md	SantaAI/単語集/6月/知らない単語集0608.md		準備ができている状態；即応性		REDē-nəs	preparedness, willingness, alertness
1878	reasonably	reasonably	1	Archaeology	Archaeology/04/04words.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html		合理的に、かなり、相当程度	reasonable	RĒ-zən-ə-bəl	fairly, moderately, considerably
1879	reassurance	reassurance	1	SantaAI	SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/6月/知らない単語集0617.md		安心させること；安心材料		rē-ə-SHŮR-əns	comfort, encouragement, confidence boost
1880	rebellion	rebellion	1	AmericanHistory	AmericanHistory/09words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html		反乱		rĭ-BEL-yən	uprising, revolt, insurrection
1881	rebels against authority	rebels against authority	1	Biology	Biology/39words.md	Biology/39words.md	Biology/39words_pronunciation/index.html		権威に反抗する	rebel against authority	RĔB-əlz ə-GĔNST ə-THÔR-ə-tē	resists authority, defies control, opposes leadership
1882	recaptured	recaptured	1	Biology	Biology/40words.md	Biology/40words.md	Biology/40words_pronunciation/index.html		再捕獲した	recapture	rē-KĂP-chərd	caught again, retaken, resecured
1883	recede	recede	1	ArtHistory	ArtHistory/05/05words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		後退する；遠ざかる；薄れる		rĭ-SĒD	retreat, withdraw, diminish
1884	reciprocal obligations	reciprocal obligations	1	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		相互の義務	reciprocal obligation	rĭ-SĬP-rə-kəl ob-lĭ-GĀ-shənz	mutual duties, shared responsibilities, two-way commitments
1885	reciprocity	reciprocity	1	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md		相互性；互恵性		res-ə-PRÄS-ə-tē	mutuality, exchange, give-and-take
1886	recognize	recognize	1	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		認識する；見分ける		REK-əg-nīz	identify, acknowledge, detect
1887	recognize familiar faces	recognize familiar faces	1	SantaAI	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md		見慣れた顔を認識する；知った顔だと分かる	recognize familiar face	RĔK-əg-nīz fə-MĬL-yər FĀ-sĭz	identify people, know faces, spot acquaintances
1888	recognize speech	recognize speech	1	ComputerScience	ComputerScience/44words.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		音声を認識する		RĔK-əg-nīz spēch	identify spoken words, process voice, understand speech
1889	recognizing	recognizing	1	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		認識している；見分けている	recognize	REK-əg-nīz-ing	identifying, noticing, acknowledging
1890	recombinant	recombinant	1	Biology	Biology/43words.md	Biology/43words.md	Biology/43words_pronunciation/index.html		組換えの		rē-kəm-BĪ-nənt	genetically recombined, engineered, modified
1891	recruited	recruited	1	AmericanHistory	AmericanHistory/09words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html		募兵した；採用した	recruit	rĭ-KRŪT	enlisted, hired, mobilized
1892	redefine	redefine	1	ComputerScience	ComputerScience/44words.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		再定義する		rē-dĭ-FĪN	reinterpret, reframe, recharacterize
1893	reestablished the place of humans within	reestablished the place of humans within	1	Art	Art/23words.md	Art/23words.md	Art/23words_pronunciation/index.html		〜の中における人間の位置を再確立した			restored, repositioned, reinstated
1894	refer to A as B	refer to a as b	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		AをBと呼ぶ		rĭ-FER tə ā ăz bē	call A B, describe A as B, label A as B
1895	refined	refined	1	SantaAI	SantaAI/単語集/5月/知らない単語集0518.md	SantaAI/単語集/5月/知らない単語集0518.md	SantaAI/単語集/5月/知らない単語集0518.md		洗練された、精製された	refine	rĭ-FĪND	polished, sophisticated, purified
1896	reflect on	reflect on	1	SantaAI	SantaAI/単語集/6月/知らない単語集0621.md	SantaAI/単語集/6月/知らない単語集0621.md	SantaAI/単語集/6月/知らない単語集0621.md		～について熟考する；振り返る		rĭ-FLEKT ôn	think about, consider, ponder
1897	reflection	reflection	1	Archaeology	Archaeology/03/03words.md	Archaeology/03/03words.md	Archaeology/03/03words_pronunciation/index.html		反射、反映；熟考		rī-FLĔK-shən	rebound, echo, image
1898	reflects	reflects	1	ArtHistory	ArtHistory/05/05words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		反映する；反射する	reflect	rĭ-FLEKTS	mirrors, shows, indicates
1899	reformatories	reformatories	1	Crimiinology	Crimiinology/19words.md	Crimiinology/19words.md	Crimiinology/19words_pronunciation/index.html		感化院；少年院；矯正施設	reformatory	rĭ-FÔR-mə-tôr-ēz	juvenile detention centers, correctional facilities, reform schools
1900	refund	refund	1	SantaAI	SantaAI/単語集/6月/知らない単語集0613.md	SantaAI/単語集/6月/知らない単語集0613.md	SantaAI/単語集/6月/知らない単語集0613.md		返金；払い戻す		rē-FƏND	reimbursement, repayment, return payment
1901	regards	regards	1	Philosophy	Philosophy/27words.md	Philosophy/27words.md	Philosophy/27words_pronunciation/index.html		〜を見なす；〜と考える；配慮	regard	rĭ-GÄRDZ	views, considers, treats as
1902	regeneration	regeneration	1	SantaAI	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md		再生；再生能力		rĭ-jen-ə-RĀ-shən	renewal, recovery, regrowth
1903	regional identity	regional identity	1	Ethnology	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md		地域的アイデンティティ、地域への帰属意識		RĒ-jə-nəl ī-DĔN-tĭ-tē	local identity, territorial belonging, community character
1904	regular	regular	1	SantaAI	SantaAI/単語集/6月/知らない単語集0605.md	SantaAI/単語集/6月/知らない単語集0605.md	SantaAI/単語集/6月/知らない単語集0605.md		規則的な；定期的な		RĔG-yə-lər	routine, consistent, periodic
1905	regularly	regularly	1	SantaAI	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md		定期的に；規則正しく		REG-yə-lər-lē	routinely, consistently, periodically
1906	regulation	regulation	1	Economics	Economics/12words.md	Economics/12words.md	Economics/12words_pronunciation/index.html		規制；規則		ˌre-gyə-LĀ-shən	rule, control, restriction
1907	regulations	regulations	1	Economics	Economics/12words.md	Economics/12words.md	Economics/12words_pronunciation/index.html		規制（複数）；規則（複数）	regulation	ˌre-gyə-LĀ-shən	rules, controls, restrictions
1908	reimbursements	reimbursements	1	SantaAI	SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/6月/知らない単語集0603.md		返金；払い戻し	reimbursement	rē-im-BURS-mənt	repayments, refunds, compensation
1909	reinterpretation	reinterpretation	1	Psychology	Psychology/29words.md	Psychology/29words.md	Psychology/29words_pronunciation/index.html		再解釈；再解読		rē-ĭn-tûr-prĭ-TĀ-shən	reanalysis, new reading, revised interpretation
1910	reject	reject	1	Biology	Biology/41words.md	Biology/41words.md	Biology/41words_pronunciation/index.html		拒絶する；退ける		rĭ-JĔKT	refuse, dismiss, repudiate
1911	relatively	relatively	1	Linguistics	Linguistics/21words.md	Linguistics/21words.md	Linguistics/21words_pronunciation/index.html		比較的；相対的に		RĔL-ə-tĭv-lē	comparatively, fairly, somewhat
1912	relaxed setting	relaxed setting	1	SantaAI	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md		リラックスした環境		rĭ-LAKST SET-ĭng	casual environment, comfortable atmosphere, informal context
1913	relevance	relevance	1	SantaAI	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md		関連性；妥当性		REL-ə-vəns	connection, applicability, pertinence
1914	reliance	reliance	1	Art	Art/23words.md	Art/23words.md	Art/23words_pronunciation/index.html		依存；信頼；頼ること		rĭ-LĪ-əns	dependence, trust, confidence
1915	relieve	relieve	1	SantaAI	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md		和らげる；軽減する		ri-LĒV	ease, reduce, soothe
1916	relieved	relieved	1	SantaAI	SantaAI/単語集/6月/知らない単語集0619&0620.md	SantaAI/単語集/6月/知らない単語集0619&0620.md	SantaAI/単語集/6月/知らない単語集0619&0620.md		安堵した；ほっとした	relieve（動詞）	rĭ-LĒVD	reassured, comforted, at ease
1917	religion	religion	1	History	History/07words.md	History/07words.md	History/07words_pronunciation/index.html		宗教、信仰		rĭ-LĬJ-ən	faith, belief, worship
1918	religious	religious	1	ArtHistory	ArtHistory/05/05words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		宗教的な；信仰心の篤い		rĭ-LIJ-əs	spiritual, sacred, devotional
1919	relocated	relocated	1	SantaAI	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md		移転した；移された	relocate	rē-lō-KĀ-tĭd	moved, transferred, shifted
1920	rely	rely	1	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		頼る、依存する		rĭ-LĪ	depend, trust, count on
1921	rely heavily	rely heavily	1	Biology	Biology/43words.md	Biology/43words.md	Biology/43words_pronunciation/index.html		大きく依存する		rĭ-LĪ HĔV-ə-lē	depend strongly, lean on, be highly dependent
1922	rely on	rely on	1	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		〜に頼る；〜を当てにする		rĭ-LĪ än	depend on, count on, trust
1923	rely on accuracy	rely on accuracy	1	MediaStudies	MediaStudies/52words.md	MediaStudies/52words.md	MediaStudies/52words_pronunciation/index.html		正確性に依存する		rĭ-LĪ ŏn ĂK-yə-rə-sē	depend on precision, require correctness, rely on exactness
1924	remain open	remain open	1	SantaAI	SantaAI/単語集/6月/知らない単語集0616.md	SantaAI/単語集/6月/知らない単語集0616.md	SantaAI/単語集/6月/知らない単語集0616.md		開いたままでいる；営業を続ける		rĭ-MĀN Ō-pən	stay open, keep open, continue operating
1925	remained	remained	1	ArtHistory	ArtHistory/05/05words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		残った；留まった；〜のままであった	remain	rĭ-MĀIN	persisted, stayed, continued
1926	remaining	remaining	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		残っている	remain	rĭ-MĀN-ĭng	leftover, residual, still existing
1927	remains	remains	1	Archaeology	Archaeology/03/03words.md	Archaeology/03/03words.md	Archaeology/03/03words_pronunciation/index.html		遺跡、遺骨、残骸；残る	remain（動詞）/ remains（名詞・複数形）	rī-MĀN	ruins, relics, remnants
1928	remains not only a beloved tale but also a landmark in the history of children's books	remains not only a beloved tale but also a landmark in the history of children's books	1	Literature	Literature/25words.md	Literature/25words.md	Literature/25words_pronunciation/index.html		愛されている物語であるだけでなく、児童書の歴史における画期的な作品であり続けている			endures as both a cherished story and a milestone in children's literature
1929	remains the same throughout	remains the same throughout	1	Biology	Biology/38words.md	Biology/38words.md	Biology/38words_pronunciation/index.html		全体を通して同じままである		rĭ-MĀNZ thə sām thrōō-OUT	stays constant, remains unchanged, is stable throughout
1930	remarkable navigation	remarkable navigation	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		驚くべき航行能力		rĭ-MÄR-kə-bəl năv-ĭ-GĀ-shən	impressive orientation, extraordinary wayfinding, notable navigation
1931	Renaissance	renaissance	1	ArtHistory	ArtHistory/05/05words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		ルネサンス；文芸復興（固有名詞）		REN-ĭ-säns	
1932	renewable sources	renewable sources	1	Environmentology	Environmentology/13words.md	Environmentology/13words.md	Environmentology/13words_pronunciation/index.html		再生可能な資源（エネルギー源）	renewable source	rĭ-NŪ-ə-bəl SÔR-səz	sustainable resources, green energy sources, replenishable inputs
1933	repair person	repair person	1	SantaAI	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md		修理工、修理業者		rĭ-PÄR PER-sən	technician, maintenance worker, mechanic
1934	repayment	repayment	1	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		返済		rē-PĀ-mənt	payback, reimbursement, return payment
1935	repealed	repealed	1	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html		廃止された；撤回された	repeal	rĭ-PĒL	revoked, rescinded, annulled
1936	repelling	repelling	1	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		はじく；反発する	repel	rĭ-PEL-ĭng	resisting, pushing away, warding off
1937	replaced	replaced	1	SantaAI	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md		置き換えられた；補充された	replace	rĭ-PLĀST	substituted, renewed, exchanged
1938	replacement	replacement	1	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		交換；取り替え		rĭ-PLĀS-mənt	substitute, renewal, changeout
1939	replenished	replenished	1	SantaAI	SantaAI/単語集/6月/知らない単語集0614.md	SantaAI/単語集/6月/知らない単語集0614.md	SantaAI/単語集/6月/知らない単語集0614.md		補充された；回復した	replenish	ri-PLEN-ĭsh	refilled, restored, renewed
1940	reportage	reportage	1	Journalism	Journalism/Newspapres.md	Journalism/Newspapres.md	Journalism/Newspapres.md		報道、ルポルタージュ；ニュース記事		rĕp-ər-täzh	coverage, journalism, reporting
1941	representation	representation	1	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md		表現；表象		rep-rĭ-zen-TĀ-shən	depiction, portrayal, expression
